还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000100996800,201609010140720100,3037872851427200,LZMGX-08ZX2032,3,30000,5045833
3745976351088800,,300000000101114300,12000000001965999,2,201609010011133199,,,0,4904,4904
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3745976351088800,,300000000101114300,12000000001966099,2,201609010011133199,,,0,9166,9166
本期回款总金额:73328,差额=5
还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000101146500,201609010193649100,3695239751631600,LZMGX-09ZX1104,2,8000,39999
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3695239751631600,,300000000101146500,12000000002136631,2,201609010160949031,,,0,7700,7700
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3695239751631600,,300000000101146500,12000000002136489,2,201609010224006089,,,0,5800,5800
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3695239751631600,,300000000101146500,12000000002136589,2,201609010224006089,,,0,22300,22300
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3695239751631600,,300000000101146500,12000000002136398,2,201609010118409198,,,0,4200,4200
本期回款总金额:40000,差额=-1
还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000101148000,201609010196146000,3437107291631600,LZMGX-09ZX1103,2,6000,27500
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3437107291631600,,300000000101148000,12000000002143514,2,201609010298510014,,,0,21908,21908
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3437107291631600,,300000000101148000,12000000002143614,2,201609010298510014,,,0,2795,2795
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3437107291631600,,300000000101148000,12000000002143782,2,201609010338079082,,,0,2795,2795
本期回款总金额:27498,差额=2
总还款金额:5236656
还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000101034301,201609010319190001,3480176690467201,LZMGX-08ZX1120,3,42000,7064166
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3480176690467201,,300000000101034301,12000000001564711,3,201609010014688011,,,1205000,11045,1216045
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3480176690467201,,300000000101034301,12000000001564811,3,201609010014688011,,,505000,4629,509629
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3480176690467201,,300000000101034301,12000000001564911,3,201609010014688011,,,280000,2566,282566
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3480176690467201,,300000000101034301,12000000001564624,3,201609010005167024,,,5000,45,5045
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3480176690467201,,300000000101034301,12000000001565440,3,201609010176392040,,,2030000,18608,2048608
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3480176690467201,,300000000101034301,12000000001565540,3,201609010176392040,,,1185000,10862,1195862
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3480176690467201,,300000000101034301,12000000001565048,3,201609010317426048,,,10000,91,10091
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3480176690467201,,300000000101034301,12000000001565148,3,201609010317426048,,,710000,6508,716508
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3480176690467201,,300000000101034301,12000000001565248,3,201609010317426048,,,35000,320,35320
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3480176690467201,,300000000101034301,12000000001565348,3,201609010317426048,,,1035000,9487,1044487
本期回款总金额:7064161,差额=5
还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000101159701,201609010228216101,3235847751679601,LZMGX-09ZX1115,2,18000,89999
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3235847751679601,,300000000101159701,12000000002187019,2,201609010056602019,,,0,1150,1150
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3235847751679601,,300000000101159701,12000000002187320,2,201609010158205120,,,0,1750,1750
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3235847751679601,,300000000101159701,12000000002187427,2,201609010303072127,,,0,8600,8600
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3235847751679601,,300000000101159701,12000000002187527,2,201609010303072127,,,0,1500,1500
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3235847751679601,,300000000101159701,12000000002187628,2,201609010354450028,,,0,3500,3500
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3235847751679601,,300000000101159701,12000000002187728,2,201609010354450028,,,0,5100,5100
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3235847751679601,,300000000101159701,12000000002187828,2,201609010354450028,,,0,5300,5300
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3235847751679601,,300000000101159701,12000000002187152,2,201609010071717052,,,0,2000,2000
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3235847751679601,,300000000101159701,12000000002187252,2,201609010071717052,,,0,4450,4450
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3235847751679601,,300000000101159701,12000000002186863,2,201609010162714163,,,0,6050,6050
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3235847751679601,,300000000101159701,12000000002186963,2,201609010162714163,,,0,3500,3500
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3235847751679601,,300000000101159701,12000000002186771,2,201609010044183171,,,0,12300,12300
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3235847751679601,,300000000101159701,12000000002187974,2,201609010218152174,,,0,34800,34800
本期回款总金额:90000,差额=-1
还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000101296501,201609010143217101,3823116911712401,LZMGX-10ZX1093,1,2000,9999
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3823116911712401,,300000000101296501,12000000002668699,1,201609010416783199,,,0,10000,10000
本期回款总金额:10000,差额=-1
总还款金额:12400817
还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000100935302,201609010311060002,3785817910923602,LZMGX-07ZX3031,4,24000,39999
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3785817910923602,,300000000100935302,12000000001048458,4,201609010063012058,,,0,3400,3400
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3785817910923602,,300000000100935302,12000000001048558,4,201609010355585158,,,0,850,850
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3785817910923602,,300000000100935302,12000000001048658,4,201609010355585158,,,0,9150,9150
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3785817910923602,,300000000100935302,12000000001048779,4,201609010393261179,,,0,200,200
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3785817910923602,,300000000100935302,12000000001048879,4,201609010393261179,,,0,17400,17400
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3785817910923602,,300000000100935302,12000000001048979,4,201609010393261179,,,0,1950,1950
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3785817910923602,,300000000100935302,12000000001049079,4,201609010393261179,,,0,400,400
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3785817910923602,,300000000100935302,12000000001049179,4,201609010393261179,,,0,100,100
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3785817910923602,,300000000100935302,12000000001049279,4,201609010393261179,,,0,300,300
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3785817910923602,,300000000100935302,12000000001049379,4,201609010393261179,,,0,850,850
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3785817910923602,,300000000100935302,12000000001048391,4,201609010242119091,,,0,800,800
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3785817910923602,,300000000100935302,12000000001048299,4,201609010011133199,,,0,4600,4600
本期回款总金额:40000,差额=-1
还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000101127802,201609010057786102,3689920101038402,LZMGX-09ZX1053,2,6000,29999
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3689920101038402,,300000000101127802,12000000002028977,2,201609010013427177,,,0,5300,5300
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3689920101038402,,300000000101127802,12000000002029077,2,201609010013427177,,,0,24700,24700
本期回款总金额:30000,差额=-1
还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000101154702,201609010194878002,3835566181631602,LZMGX-09ZX1106,2,4000,18333
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3835566181631602,,300000000101154702,12000000002164938,2,201609010113249138,,,0,2383,2383
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3835566181631602,,300000000101154702,12000000002165038,2,201609010113249138,,,0,10450,10450
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3835566181631602,,300000000101154702,12000000002165163,2,201609010162714163,,,0,2383,2383
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3835566181631602,,300000000101154702,12000000002164867,2,201609010351622067,,,0,3116,3116
本期回款总金额:18332,差额=1
还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000101270302,201609010094000002,3876953620401602,LZMGX-10ZX1029,1,4000,19999
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3876953620401602,,300000000101270302,12000000002600827,1,201609010303072127,,,0,15450,15450
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3876953620401602,,300000000101270302,12000000002600779,1,201609010153652179,,,0,4550,4550
本期回款总金额:20000,差额=-1
还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000101288302,201609010428680002,3853089340797202,LZMGX-10ZX1070,1,12000,59999
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3853089340797202,,300000000101288302,12000000002644324,1,201609010354360124,,,0,6300,6300
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3853089340797202,,300000000101288302,12000000002644725,1,201609010101930125,,,0,500,500
